SOUND 2245	 delay: 0
PLAYER 'Wildy Slayer'	 gfx: 1336
PLAYER 'Wildy Slayer'	 gfx: 1336
PLAYER 'Wildy Slayer'	 gfx: 1336
SOUND 3454	 delay: 0
PLAYER 'Wildy Slayer'	 animation: 7511
NPC 'Guard (3269)'	animation: 388
SOUND 1979	 delay: 0
PLAYER 'Wildy Slayer'	 animation: 7511
NPC 'Guard (3269)'	animation: 388
SOUND 2549	 delay: 0
SOUND 2766	 delay: 20
PLAYER 'Wildy Slayer'	 animation: 7512
NPC 'Guard (3269)'	animation: 386
AREA_SOUND 3813	 delay: 0, range: 10, sceneX: 41, sceneY: 54
AREA_SOUND 3817	 delay: 0, range: 10, sceneX: 41, sceneY: 54
AREA_SOUND 3813	 delay: 0, range: 10, sceneX: 41, sceneY: 54
AREA_SOUND 3813	 delay: 0, range: 10, sceneX: 41, sceneY: 54
PLAYER 'Wildy Slayer'	 animation: 7512
NPC 'Guard (3269)'	animation: 386
AREA_SOUND 3817	 delay: 0, range: 10, sceneX: 41, sceneY: 54
AREA_SOUND 3813	 delay: 0, range: 10, sceneX: 41, sceneY: 54
AREA_SOUND 3817	 delay: 0, range: 10, sceneX: 41, sceneY: 54
AREA_SOUND 3813	 delay: 0, range: 10, sceneX: 41, sceneY: 54
AREA_SOUND 3817	 delay: 0, range: 10, sceneX: 41, sceneY: 54
AREA_SOUND 3813	 delay: 0, range: 10, sceneX: 41, sceneY: 54
AREA_SOUND 3817	 delay: 0, range: 10, sceneX: 41, sceneY: 54
AREA_SOUND 3813	 delay: 0, range: 10, sceneX: 41, sceneY: 54
AREA_SOUND 3817	 delay: 0, range: 10, sceneX: 41, sceneY: 54
AREA_SOUND 3454	 delay: 0, range: 5, sceneX: 51, sceneY: 51
SOUND 2549	 delay: 0
SOUND 2768	 delay: 20
PLAYER 'Wildy Slayer'	 animation: 7511, gfx: 1336
NPC 'Guard (3269)'	animation: 386
SOUND 1979	 delay: 0
SOUND 1979	 delay: 0
SOUND 1979	 delay: 0
SOUND 1979	 delay: 0
SOUND 1979	 delay: 0
PLAYER 'Wildy Slayer'	 animation: 7511, gfx: 1336
NPC 'Guard (3269)'	animation: 386
SOUND 512	 delay: 0
PLAYER 'Wildy Slayer'	 gfx: 1336
SOUND 2497	 delay: 0
SOUND 2770	 delay: 20
PLAYER 'Wildy Slayer'	 animation: 7512
NPC 'Guard (3271)'	animation: 395
