SOUND 2549	 delay: 0
SOUND 2767	 delay: 20
PLAYER 'Wildy Slayer'	 animation: 424
NPC 'Guard (3269)'	animation: 386
SOUND 2695	 delay: 0
PLAYER 'Wildy Slayer'	 animation: 7552
NPC 'Guard (3269)'	animation: 386
PLAYER 'Wildy Slayer'	 animation: 7552
PROJECTILE 27	startHeight: 11, endHeight: 144, slope: 5, duration: 20, x: 6592, y: 6848
SOUND 1979	 delay: 0
PLAYER 'Wildy Slayer'	 animation: 7552
SOUND 512	 delay: 0
AREA_SOUND 3813	 delay: 0, range: 10, sceneX: 38, sceneY: 49
AREA_SOUND 3817	 delay: 0, range: 10, sceneX: 38, sceneY: 49
AREA_SOUND 3813	 delay: 0, range: 10, sceneX: 38, sceneY: 49
SOUND 2695	 delay: 0
AREA_SOUND 3813	 delay: 0, range: 10, sceneX: 38, sceneY: 49
PLAYER 'Wildy Slayer'	 animation: 7552
NPC 'Guard (3272)'	animation: 425
AREA_SOUND 3817	 delay: 0, range: 10, sceneX: 38, sceneY: 49
AREA_SOUND 3813	 delay: 0, range: 10, sceneX: 38, sceneY: 49
AREA_SOUND 3817	 delay: 0, range: 10, sceneX: 38, sceneY: 49
PLAYER 'Wildy Slayer'	 animation: 7552
NPC 'Guard (3272)'	animation: 425
PROJECTILE 27	startHeight: 11, endHeight: 144, slope: 5, duration: 41, x: 6592, y: 6848
AREA_SOUND 3813	 delay: 0, range: 10, sceneX: 38, sceneY: 49
AREA_SOUND 3817	 delay: 0, range: 10, sceneX: 38, sceneY: 49
AREA_SOUND 3813	 delay: 0, range: 10, sceneX: 38, sceneY: 49
PLAYER 'Wildy Slayer'	 animation: 7552
NPC 'Guard (3272)'	animation: 425
AREA_SOUND 3817	 delay: 0, range: 10, sceneX: 38, sceneY: 49
AREA_SOUND 3813	 delay: 0, range: 10, sceneX: 38, sceneY: 49
AREA_SOUND 3817	 delay: 0, range: 10, sceneX: 38, sceneY: 49
SOUND 24	 delay: 0
NPC 'Guard (3272)'	animation: 425
SOUND 512	 delay: 0
SOUND 2695	 delay: 0
SOUND 2911	 delay: 2
PLAYER 'Wildy Slayer'	 animation: 7552
NPC 'Guard (3271)'	animation: 397, gfx: 754
SOUND 520	 delay: 20
PLAYER 'Wildy Slayer'	 animation: 7552
NPC 'Guard (3271)'	animation: 397, gfx: 754
PROJECTILE 27	startHeight: 11, endHeight: 144, slope: 5, duration: 29, x: 6592, y: 7872
PLAYER 'Wildy Slayer'	 animation: 7552
NPC 'Guard (3271)'	animation: 397, gfx: 754
SOUND 1979	 delay: 0
NPC 'Guard (3271)'	animation: 397, gfx: 754
NPC 'Guard (3271)'	animation: 397, gfx: 754
SOUND 2695	 delay: 0
PLAYER 'Wildy Slayer'	 animation: 7552
NPC 'Guard (3271)'	animation: 397, gfx: 754
SOUND 2497	 delay: 0
SOUND 2766	 delay: 20
PLAYER 'Wildy Slayer'	 animation: 7552
NPC 'Guard (3271)'	animation: 395, gfx: 754
PROJECTILE 27	startHeight: 11, endHeight: 144, slope: 5, duration: 21, x: 6720, y: 8128
